AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000_ORIG,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-1050,"Physical Sciences Teachers, Postsecondary",broad,52240,1.7,,,,*,97090,1.0,*,*,*,*,*,46980,61620,84730,120170,164540,True,
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-1060,"Social Sciences Teachers, Postsecondary",broad,117590,1.5,,,,*,92920,1.0,*,*,*,*,*,40770,57240,80020,114250,163140,True,
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-1070,"Health Teachers, Postsecondary",broad,261590,2.4,,,,*,112850,2.1,*,*,*,*,*,43490,60540,89910,141890,#,True,
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-1190,Miscellaneous Postsecondary Teachers,broad,331560,2.0,,,,*,73540,1.3,*,*,*,*,*,32440,46140,62040,93010,129990,True,
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-2030,Secondary School Teachers,broad,1110370,1.3,,,,*,65850,0.6,*,*,*,*,*,40690,49210,61660,79580,99340,True,
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-2050,Special Education Teachers,broad,480780,1.0,,,,*,65230,1.2,*,*,*,*,*,40330,48990,61040,78620,98730,True,
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-9040,Teaching Assistants,broad,1484410,0.6,,,,*,30280,0.7,*,*,*,*,*,18940,23010,28210,36020,45120,True,
99,U.S.,1,0,Cross-industry,cross-industry,1235,29-1020,Dentists,broad,127200,1.6,,,,88.01,183060,1.1,38.3,54.75,76.54,#,#,79670,113880,159200,#,#,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,31-9090,Miscellaneous Healthcare Support Occupations,broad,1532460,0.5,,,,17.74,36910,0.2,12.07,14.14,17.13,20.57,24.77,25110,29410,35630,42790,51530,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,33-1010,First-Line Supervisors of Law Enforcement Workers,broad,167780,0.4,,,,42.2,87770,0.7,22.26,28.97,39.9,52.95,65.32,46310,60250,82990,110140,135870,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,37-3010,Grounds Maintenance Workers,broad,999960,0.6,,,,15.91,33100,0.3,10.53,12.36,14.85,18.37,23.18,21890,25710,30890,38200,48210,,
