AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,132740,2.8,,,,,49.42,102790,1.4,26.11,34.84,47.02,59.64,75.81,54310,72460,97800,124060,157690,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-2010,Actuaries,broad,25010,4.3,,,,,61.34,127580,0.9,34.5,40.77,54.8,74.84,95.82,71760,84800,113990,155670,199300,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-2030,Operations Research Analysts,broad,105080,1.5,,,,,46.07,95820,0.8,24.25,30.8,41.21,54.8,71.94,50440,64060,85720,113980,149640,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-2040,Statisticians,broad,30780,1.9,,,,,50.73,105510,1.0,27.93,36.71,47.56,62.05,77.55,58090,76360,98920,129060,161300,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,17-2060,Computer Hardware Engineers,broad,74640,3.7,,,,,67.71,140830,1.8,37.68,49.76,63.64,80.64,100.1,78380,103490,132360,167740,208200,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,17-2112,Industrial Engineers,detailed,321400,0.6,,,,,47.39,98560,0.4,30.16,37.31,46.32,56.25,64.9,62730,77600,96350,117000,134990,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,17-2140,Mechanical Engineers,broad,277560,0.8,,,,,48.47,100820,0.7,29.8,37.01,46.31,58.98,72.72,61990,76980,96310,122680,151260,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,17-3010,Drafters,broad,192410,1.6,,,,,30.43,63300,0.6,18.44,23.01,29.04,36.53,44.99,38360,47860,60400,75980,93570,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,17-3013,Mechanical Drafters,detailed,47540,1.5,,,,,31.59,65700,0.7,18.76,23.27,29.48,37.47,47.63,39030,48400,61310,77930,99070,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,17-3019,"Drafters, All Other",detailed,17980,3.5,,,,,29.02,60370,0.8,18.27,22.3,27.71,34.54,41.47,38000,46390,57640,71850,86250,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,19-1000,Life Scientists,minor,318780,1.0,,,,,46.56,96840,0.8,23.93,30.27,39.93,58.05,76.16,49760,62970,83060,120750,158410,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,19-1011,Animal Scientists,detailed,2520,8.2,,,,,41.28,85870,3.9,22.07,26.33,33.36,48.61,70.09,45910,54770,69390,101100,145780,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,19-1020,Biological Scientists,broad,124910,2.3,,,,,46.38,96460,0.8,23.96,30.53,41.35,57.57,75.51,49830,63490,86000,119750,157060,,
